,gross_domestic_product,unemployment_rate,inflation_rate,interest_rate,consumer_price_index,producer_price_index,balance_of_trade,industrial_production_index,consumer_confidence_index
1913-09-30,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-01,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-02,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-03,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-04,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-05,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-06,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-07,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-08,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-09,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-10,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-11,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-12,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-13,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-14,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-15,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-16,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-17,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-18,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-19,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-20,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
1913-10-21,243.164,3.4,10.0,2.83,21.48,12.2,-2026.0,4.8665,86.2
